Time,No. Steps,Total Reward,Episode Length,
0.0675549507,4906,-28,1003,
0.0173304081,6036,133.3,21,
0.0178444386,7268,133.3,21,
0.0174236298,8194,133.3,21,
0.0069022179,9095,133.3,21,
0.4311234951,10252,91.5,15,
0.0186066628,11470,133.3,21,
0.011390686,13010,133.3,21,
0.1933984756,19483,172,1003,
0.0845506191,20949,100.8,31,
0.0628757477,22544,106.9,30,
0.0829572678,24081,115,27,
0.0997467041,29192,172,1003,
0.0072231293,30650,133.3,21,
0.017261982,32235,133.3,21,
Time,No. Steps,Total Reward,Episode Length,
0.2167990208,393,380.6,63,
0.1619250774,6426,172,1003,
0.2965800762,11439,265.5,1003,
0.0674407482,17212,271,1003,
0.0166299343,18729,133.3,21,
0.2320151329,19869,123.1,24,
0.0938374996,25060,172,1003,
0.2866947651,26507,130.1,23,
0.2303659916,27679,119,26,
0.2647709846,28873,121.3,19,
0.2263424397,29985,127.3,20,
0.0164709091,31075,133.3,21,
0.006472826,32272,131.2,22,
0.0172586441,33395,133.3,21,
0.1954512596,34530,133.2,21,
0.0653522015,39925,284,1003,
0.0727517605,44351,187,1003,
0.1377818584,49522,172,1003,
0.3927302361,51018,131.3,20,
0.1327517033,55934,176.5,1003,
0.1234531403,61041,172,1003,
0.3690524101,62524,131.3,20,
0.3539276123,64112,129.3,20,
0.1362140179,65530,123.1,24,
0.1798634529,70278,-5.6843418860808E-13,1003,
0.0784761906,75078,171,1003,
0.1468248367,76393,130.2,22,
0.1743774414,82416,136,1003,
0.1302042007,88095,269,1003,
0.1397352219,93044,172,1003,
0.122759819,98218,172,1003,
0.0893392563,102933,172,1003,
0.0758914948,108002,178,1003,
0.1386442184,112847,269,1003,
0.1330840588,118240,269,1003,
0.1388924122,123822,179,1003,
0.1467421055,128775,172,1003,
0.1377472878,133722,172,1003,
0.1392097473,138809,172,1003,
0.0188713074,140206,125.3,20,
0.10227108,145049,148,1003,
0.1780574322,146708,371.6,62,
0.0225396156,148671,369.1,99,
0.0062761307,149923,133.3,21,
0.1392416954,154968,184,1003,
0.2175569534,159571,172,1003,
0.116610527,164426,172,1003,
0.1514103413,169664,172,1003,
0.148651123,174641,172,1003,
0.1340744495,176015,370.4,68,
0.0663855076,180755,172,1003,
0.1804823875,185855,178,1003,
0.1196918488,190857,172,1003,
0.0678071976,196072,178,1003,
0.0688691139,197705,376.1,75,
0.4880764484,199294,379.8,56,
0.0440721512,200637,133.3,21,
0.023324728,202149,133.3,21,
0.0065283775,203542,138.3,21,
0.1547758579,208481,172,1003,
0.0096421242,209706,133.3,21,
0.0238518715,211661,483.2,86,
0.5977566242,213267,370.8,57,
0.233325243,218139,172,1003,
0.0104372501,219405,133.3,21,
0.0181844234,220936,133.3,21,
0.0184226036,222458,133.3,21,
0.2633500099,224679,483.2,85,
0.1482191086,226538,361.8,57,
0.2062983513,228195,385.5,88,
0.1445968151,233429,178,1003,
0.0810039043,238312,172,1003,
0.2933075428,240621,921.3,145,
0.1519701481,242541,675.9,118,
0.1269681454,247325,172,1003,
0.0732328892,252267,178,1003,
0.1577658653,257172,172,1003,
0.3459603786,259075,370,77,
0.1378445625,260664,372,52,
0.2061800957,265593,172,1003,
0.0180823803,267745,482.2,111,
0.0188560486,269108,364.1,50,
0.1234042645,270308,355.9,53,
0.1703522205,271547,372,52,
0.1867201328,276568,172,1003,
0.3502724171,278390,370.8,57,
0.6254134178,280350,995.8,131,
0.3089132309,282058,922.3,132,
0.1384294033,286754,172,1003,
0.1196985245,291460,172,1003,
0.4218790531,293077,832.2,109,
0.0965476036,297933,178,1003,
0.2517449856,302636,172,1003,
0.1324162483,307385,172,1003,
0.0961678028,312241,172,1003,
0.1915671825,313593,342.6,62,
0.4643321037,315936,1006.7,133,
0.0178792477,317839,996.9,131,
0.0702242851,322474,172,1003,
0.017565012,324120,914.8,120,
0.479403019,325833,998.3,131,
0.0175414085,328351,993.4,131,
0.2126677036,330306,833.7,109,
0.1567709446,334748,172,1003,
0.0170426369,336594,917.3,120,
0.0192315578,338267,910.4,118,
0.1251935959,340067,990.9,129,
0.1862602234,341742,912.4,118,
0.4324066639,343387,832.2,109,
0.0173499584,345100,995.8,132,
0.2057204247,346784,993.4,129,
0.1208913326,351483,172,1003,
0.0172715187,353380,996.3,146,
0.4020171165,354978,913.7,122,
0.115940094,359727,172,1003,
0.0194404125,361549,995.8,132,
0.0187931061,363439,1130.1,150,
0.0169157982,365145,995.8,132,
0.1418862343,366868,987.4,129,
0.1190435886,368573,987.4,129,
